timestamp,hour,house1_current,house2_current,house3_current,house4_current,house5_current,total_current,is_peak_hour,current_change_rate,overload_flag,main_contributor
0,0,2.03,1.23,1.43,1.23,0.65,6.57,0,0.0,0,1
1,1,1.74,2.41,1.18,1.53,2.15,9.01,0,2.4399999999999995,0,2
2,2,1.0,2.29,1.1,0.74,0.82,5.950000000000001,0,-3.0599999999999987,0,2
3,3,1.05,1.4,1.36,0.96,0.63,5.4,0,-0.5500000000000007,0,2
4,4,0.8,1.4,0.65,1.05,0.91,4.8100000000000005,0,-0.5899999999999999,0,2
5,5,2.1,1.2,1.1,2.09,1.79,8.280000000000001,0,3.4700000000000006,0,1
6,6,2.88,3.62,2.55,1.28,4.34,14.67,1,6.389999999999999,0,5
7,7,1.65,2.12,4.9,4.04,2.28,14.99,1,0.3200000000000003,0,3
8,8,1.48,4.93,1.7,1.55,0.83,10.49,1,-4.5,0,2
9,9,1.73,1.67,2.07,1.38,2.24,9.09,0,-1.4000000000000004,0,5
10,10,1.62,0.9,1.41,1.87,1.91,7.71,0,-1.38,0,5
11,11,1.65,2.42,2.49,0.61,2.3,9.47,0,1.7600000000000007,0,3
12,12,1.4,2.46,2.15,1.44,2.07,9.52,0,0.049999999999998934,0,2
13,13,2.25,2.3,1.49,1.71,1.06,8.81,0,-0.7099999999999991,0,2
14,14,1.37,1.36,1.44,1.8,2.37,8.34,0,-0.47000000000000064,0,5
15,15,0.59,2.29,2.19,1.35,0.56,6.98,0,-1.3599999999999994,0,2
16,16,1.49,2.36,1.53,1.24,2.21,8.83,0,1.8499999999999996,0,2
17,17,0.89,0.78,0.71,2.32,0.91,5.609999999999999,0,-3.2200000000000006,0,4
18,18,4.58,4.01,3.7,2.5,4.56,19.349999999999998,1,13.739999999999998,1,1
19,19,1.82,4.13,4.58,1.56,2.56,14.650000000000002,1,-4.699999999999996,0,3
20,20,1.2,2.3,0.73,2.05,2.94,9.22,1,-5.4300000000000015,0,5
21,21,3.38,1.69,4.08,3.22,3.42,15.790000000000001,1,6.57,0,3
22,22,0.63,1.97,1.51,1.66,1.74,7.510000000000001,0,-8.280000000000001,0,2
23,23,0.92,1.44,2.08,2.25,2.29,8.98,0,1.4699999999999998,0,5
24,0,2.01,1.66,0.84,0.88,1.42,6.81,0,-2.170000000000001,0,1
25,1,1.79,1.37,1.84,1.65,1.35,8.0,0,1.1900000000000004,0,3
